shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
2-WMN-B-mjp-1.1.H,-37.8677529166559,144.905323308917,1,0
2-WMN-B-mjp-1.1.H,-37.8673816160101,144.904208438705,2,106.404887105809
2-WMN-B-mjp-1.1.H,-37.8670937977208,144.903227622861,3,198.432057006877
2-WMN-B-mjp-1.1.H,-37.8648176431947,144.896369563588,4,852.650674901538
2-WMN-B-mjp-1.1.H,-37.8642708599747,144.895021068949,5,985.932331553907
2-WMN-B-mjp-1.1.H,-37.8639818878493,144.894483676562,6,1043.07251006255
2-WMN-B-mjp-1.1.H,-37.8639818878493,144.894483676562,7,1043.07251006255
2-WMN-B-mjp-1.1.H,-37.8637954464189,144.894136607569,8,1079.96424355395
2-WMN-B-mjp-1.1.H,-37.8629714556119,144.892909713101,9,1221.45982652388
2-WMN-B-mjp-1.1.H,-37.8621527436817,144.891978229695,10,1343.84038053471
2-WMN-B-mjp-1.1.H,-37.861502460939,144.891394329804,11,1432.44060626806
2-WMN-B-mjp-1.1.H,-37.8608904429429,144.890934380629,12,1511.51651916194
2-WMN-B-mjp-1.1.H,-37.8600614410546,144.890435160483,13,1613.48219966278
2-WMN-B-mjp-1.1.H,-37.857333476648,144.889069465486,14,1939.25666152252
2-WMN-B-mjp-1.1.H,-37.857333476648,144.889069465486,15,1939.25666152252
2-WMN-B-mjp-1.1.H,-37.8495873444708,144.885267296722,16,2861.87250790713
2-WMN-B-mjp-1.1.H,-37.8484432812034,144.884788579784,17,2995.667126633
2-WMN-B-mjp-1.1.H,-37.8470288028264,144.884306242102,18,3158.30783494429
2-WMN-B-mjp-1.1.H,-37.8451551711925,144.883848412405,19,3370.14267627121
2-WMN-B-mjp-1.1.H,-37.8443054525657,144.88370224485,20,3465.33196138251
2-WMN-B-mjp-1.1.H,-37.8427175700734,144.883599911799,21,3641.81142194379